,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
332,Grave of the Fireflies,1988,8.5,94.0,267716,,89
333,District 9,2009,7.9,81.0,671663,115.65,112
334,Y tu mamá también,2001,7.7,88.0,121865,13.62,106
335,Children of Men,2006,7.9,84.0,492835,35.55,109
336,Kick-Ass,2010,7.6,66.0,554019,48.07,117
337,Coraline,2009,7.7,80.0,220165,75.29,100
338,3 Idiots,2009,8.4,67.0,387170,6.53,170
339,The Hobbit: The Desolation of Smaug,2013,7.8,66.0,644201,258.37,161
340,The Untouchables,1987,7.9,79.0,304014,76.27,119
341,Eastern Promises,2007,7.6,82.0,240379,17.11,100
342,It's a Wonderful Life,1946,8.6,89.0,445823,,130
343,The Last of the Mohicans,1992,7.7,76.0,166360,75.51,112
344,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,97.0,481169,0.28,95
345,Beauty and the Beast,1991,8.0,95.0,443814,218.97,84
346,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87.0,619018,42.34,119
347,The Invisible Guest,2016,8.0,,171015,,106
348,Remember the Titans,2000,7.8,48.0,211988,115.65,113
349,Strangers on a Train,1951,7.9,88.0,132423,7.63,101
350,Deliverance,1972,7.7,80.0,106974,7.06,109
351,Portrait of a Lady on Fire,2019,8.1,95.0,86366,3.76,122
352,In the Mood for Love,2000,8.0,85.0,145375,2.73,98
353,3:10 to Yuma,2007,7.7,76.0,306835,53.61,122
354,Toy Story 3,2010,8.3,92.0,815472,415.0,103
355,The Dirty Dozen,1967,7.7,73.0,72208,45.3,150
356,Incredibles 2,2018,7.6,80.0,286403,608.58,118
357,The Lives of Others,2006,8.4,89.0,383860,11.29,137
358,Once Upon a Time in the West,1968,8.5,80.0,323869,5.32,165
359,The Bourne Identity,2002,7.9,68.0,539204,121.66,119
360,Kung Fu Panda,2008,7.6,74.0,457191,215.43,92
361,Fried Green Tomatoes,1991,7.7,64.0,73797,82.42,130
362,Aladdin,1992,8.0,86.0,404821,217.35,90
363,Captain Fantastic,2016,7.8,72.0,214409,5.88,118
364,Finding Neverland,2004,7.7,67.0,205286,51.68,106
365,The Boy in the Striped Pajamas,2008,7.7,55.0,213522,9.03,94
366,Mary Poppins,1964,7.8,88.0,169683,102.27,139
367,The Fighter,2010,7.8,79.0,360734,93.62,116
368,Moonrise Kingdom,2012,7.8,84.0,344484,45.51,94
369,The Little Mermaid,1989,7.6,88.0,256424,111.54,83
370,Kill Bill: Vol. 2,2004,8.0,83.0,738582,66.21,137
371,Citizen Kane,1941,8.3,100.0,435064,1.59,119
372,Misery,1990,7.8,75.0,203978,61.28,107
373,Paddington 2,2017,7.8,88.0,73830,40.44,103
374,Shaun of the Dead,2004,7.9,76.0,547317,13.54,99
375,Boyz n the Hood,1991,7.8,76.0,138211,57.5,112
376,Princess Mononoke,1997,8.4,76.0,383143,2.38,134
377,Downfall,2004,8.2,82.0,350790,5.51,156
378,Blazing Saddles,1974,7.7,73.0,136961,119.5,93
379,Sense and Sensibility,1995,7.7,84.0,113973,43.18,136
380,Hunt for the Wilderpeople,2016,7.8,81.0,127638,5.2,101
381,Dog Day Afternoon,1975,8.0,86.0,252919,50.0,125
382,Dirty Harry,1971,7.7,87.0,154216,35.9,102
383,Despicable Me,2010,7.6,72.0,533958,251.51,95
384,A Bronx Tale,1993,7.8,80.0,139022,17.27,121
385,Capernaum,2018,8.4,75.0,85140,1.66,126
386,Lost in Translation,2003,7.7,89.0,445402,44.59,102
387,Young Frankenstein,1974,8.0,80.0,155963,86.3,106
388,Brazil,1985,7.9,84.0,198861,9.93,132
389,Awakenings,1990,7.8,74.0,138365,52.1,121
390,The Lego Movie,2014,7.7,83.0,347413,257.76,100
391,Apollo 13,1995,7.7,77.0,290083,173.84,140
392,Manchester by the Sea,2016,7.8,96.0,274787,47.7,137
393,Dark Waters,2019,7.6,73.0,84804,,126
394,Do the Right Thing,1989,7.9,93.0,100459,27.55,120
395,Naked,1993,7.7,85.0,38889,1.77,131
396,Rise of the Planet of the Apes,2011,7.6,68.0,520723,176.76,105
397,The Trial of the Chicago 7,2020,7.7,76.0,171791,,129
398,Breakfast at Tiffany's,1961,7.6,76.0,177624,,115
399,Falling Down,1993,7.6,56.0,186814,40.9,113
400,Seven Samurai,1954,8.6,98.0,339733,0.27,207
